id,name,cardtype,color,dmg,def,type1,type2,hire,fire,equip,dice,effect1,effect2,effect3,effect4,step1,step2,step3,step4
brenter,Brenter,Fighter,black/blue,1,3,Animal,,3,2,,Yes,Deal 1 DMG to any target.,1-3: Nothing happens. 4-6: Draw a card.,Search your deck for a money card and put it on the battlefield.,1-3: Nothing happens. 4-6: Draw a card from your Graveyard.,,,,
bulsaram,Bulsaram,Fighter,red,5,2,Demon,Ghost,6,1,,No,Bulsaram can attack immediately.,Nothing happens.,★ Bulsaram gets +4 DMG.,★ Bulsaram gets +2 DMG.,,,,
cyclops,Cyclops,Fighter,green,2,4,Beast,,5,2,,Yes,Add +1 DMG for every green card you control to Cyclops until end of turn.,1-4 : Nothing happens. / 5-6: Search your deck for a money card and take it on your hand.,Sacrifice a Fighter and add it´s LP to a fighter of your choice. ,Cyclops deals 1 DMG to a fighter of your choice.,,,,
elf_scout,Elf Scout,Fighter,green,1,2,Elf,,1,1,,Yes,Elf Scout has as much Power as there are Treefolk you are controlling.,"Guess a cards Hire costs, then randomly pull one from your deck. If it´s correct, bring it into play, otherwise put it in the graveyard.",1-5: Deal 1 DMG to a fighter of your choice. 6: Deal 3 DMG instead.,Add 1 LP to any fighter on the battlefield.,,,,
giant,Giant,Fighter,red/black,6,8,Beast,,7,2,,Yes,Destroy one inventory of your choice with costs as high as the dice roll or lower.,Nothing happens.,Destroy as much Token Fighter as the dice shows.,Nothing happens.,,,,
gnorx,Gnorx,Fighter,green,1,2,Goblin,,2,0,,No,Nothing happens.,★ Green or blue Fighter spells cost 1 less to cast.,Destroy Gnorx and deal 3 DMG to a Fighter of your choice.,Create 1x Treefolk.,,,,
lupius,Lupius,Fighter,red,2,2,Beast,Human,4,2,,Yes,Lupius can attack immediately.,Deal 1 DMG to a target of your choice.,1-3: All Beasts get +1 DMG until end of turn. 4-6: All Human get +1 DMG until end of turn.,Nothing happens.,,,,
mummy,Mummy,Fighter,black,1,3,Human,Undead,3,0,,No,"If you have > 1 black card on the playfield, Mummy gets +2 DMG until end of this turn. ","Deal 2 DMG to Mummy, destroy a blue fighter of your choice.","If Mummy gets destroyed this or the next enemy turn, take it back to your hand.","Deal 2 DMG to Mummy, destroy a green fighter of your choice.",,,,
nymph,Nymph,Fighter,green/blue,2,5,Elf,-,5,2,,No,"★ Whenever Nymph blocks an enemy attack, deal 1 DMG to attacking Fighter.",Every Treefolk gets +1/+1 until the end of this turn.,Create 1x Treefolk. Nymph gets + 1LP. ,★ Nymph gets +1 LP for each you control.Nymph gets +1 LP for each Treefolk you control.,,,,
sir_john,Sir John,Fighter,blue,3,6,Human,Knight,6,2,,Yes,1-4: Deal 2 DMG to one of your Fighters. 5-6: Deal 4 DMG to a Fighter of your choice.,Nothing happens.,1-4: Nothing happens. 5-6: Add +1 LP to a green or blue fighter.,1-4: Destroy Sir John. 5-6: Destroy Fighter of your choice.,,,,
threnos,Threnos,Fighter,red,1,8,Human,Knight,6,2,,No,"★ Whenever Threnos destroys another Fighter, you get 1 Money to your counter.",All red or black fighters get + 1 DMG until the end of turn.,Every red Fighter gets as much LP as there are red fighters you are controlling. ,All fighters of the type Knight get + 1 DMG until the end of your turn.,,,,
toma_oni,Toma Oni,Fighter,red/blue,2,2,Wizard,-,6,3,,Yes,Bring a fighter of your choice back to it´s owners hand.,Draw a card.,Predict dice roll. If it´s correct deal 5 DMG. If not deal 2 DMG instead.,Destroy an Inventory of your choice.,,,,
wendigo,Wendigo,Fighter,black,3,7,Demon,Undead,7,2,,Yes,Choose an enemy character and force it to fight one of your characters you choose.,1-3: Deal 1 DMG to a fighter of your choice. 3-6: Create 1x Bones.   ,Create 1x Bones & 1x Treefolk.    ,Deal 2 DMG to all green fighters on the battlefield.,,,,
yuki-onna,Yuki-Onna,Fighter,blue,1,4,Ghost,Human,3,1,,Yes,Throw a dice for each enemy fighter. 1-3: Nothing happens. / 4-6: Deal 1 DMG. ,Add +2 LP to a blue or green fighter of your choice.,A fighter of your choice won´t be able to attack or cast effects within the next enemy turn. ,"Destroy Yuki-Onna, as well as up to two red or black enemy characters of your choice.",,,,
